genre,rating,watched
"Crime, Drama, Mystery",6.3,0
"Crime, Drama, Thriller",6.3,0
"Animation, Action, Adventure",8.4,0
"Crime, Drama, Mystery",8.4,0
"Action, Crime, Drama",7.0,0
"Animation, Adventure, Family",8.6,0
"Animation, Action, Adventure",8.6,0
"Comedy, Crime, Drama",8.0,0
"Action, Comedy, Crime",7.3,0
"Action, Drama, Mystery",7.5,0
"Action, Drama, Fantasy",6.8,0
"Crime, Drama",8.4,0
"Action, Drama",7.6,0
"Comedy, Romance",5.2,0
"Action, Horror, Sci-Fi",4.0,0
"Comedy, Drama",7.4,0
Comedy,8.2,0
"Action, Adventure, Comedy",5.8,0
"Action, Drama, Sci-Fi",6.9,0
"Crime, Drama, Mystery",8.3,0
"Drama, Romance, Western",6.8,0
"Action, Crime, Drama",7.6,0
"Drama, Horror, Mystery",7.3,0
"Animation, Action, Adventure",8.4,0
"Drama, Mystery, Sci-Fi",7.9,0
"Comedy, Drama",8.1,0
"Animation, Comedy, Drama",6.8,0
Drama,8.2,0
"Comedy, Drama",6.7,0
"Animation, Adventure, Comedy",7.5,0
"Comedy, Crime, Drama",6.4,0
"Action, Crime, Drama",8.2,0
"Drama, Mystery, Thriller",7.2,0
"Animation, Action, Adventure",8.2,0
"Crime, Drama, Thriller",7.4,0
"Adventure, Drama, Horror",6.8,0
"Action, Adventure, Fantasy",5.4,0
"Drama, Sci-Fi, Thriller",8.3,0
"Action, Drama, Sci-Fi",7.9,0
"Action, Adventure, Drama",6.2,0
"Drama, History, Thriller",7.4,0
"Biography, Crime, Drama",7.8,0
"Action, Adventure, Sci-Fi",6.1,0
"Animation, Comedy, Romance",7.9,0
"Drama, Fantasy, Horror",7.4,0
"Animation, Crime, Drama",9.0,0
Comedy,7.1,0
"Drama, Romance",7.8,0
"Animation, Adventure, Comedy",,0
"Adventure, Comedy, Crime",8.1,0
"Action, Adventure, Drama",8.0,0
"Action, Comedy, Thriller",6.3,0
"Action, Crime, Drama",7.9,0
"Animation, Adventure, Comedy",7.4,0
"Drama, Family",8.7,0
Comedy,7.9,0
"Horror, Mystery",6.2,0
"Action, Crime, Drama",8.0,0
"Action, Drama, Western",8.3,0
"Animation, Action, Adventure",9.1,0
"Crime, Drama",8.3,0
"Crime, Drama, Mystery",7.7,0
"Action, Adventure, Comedy",6.7,0
Comedy,6.3,0
Comedy,8.5,0
"Action, Adventure, Drama",6.8,0
"Drama, Romance",8.7,0
"Crime, Drama, Mystery",7.7,0
"Action, Adventure, Crime",6.4,0
"Comedy, Drama",7.7,0
Drama,7.9,0
"Crime, Drama",8.4,0
"Action, Adventure, Crime",6.6,0
"Action, Adventure, Fantasy",6.5,0
"Drama, Horror, Mystery",8.1,0
"Animation, Action, Adventure",8.6,0
"Action, Adventure, Drama",7.5,0
"Mystery, Thriller",6.7,0
"Adventure, Drama, Fantasy",6.6,0
"Action, Drama, Fantasy",7.5,0
"Action, Adventure, Comedy",6.9,0
"Biography, Drama, Music",6.4,0
"Crime, Drama, Thriller",8.1,0
"Crime, Drama, Mystery",8.4,0
"Comedy, Drama, Romance",,0
"Action, Drama, Thriller",8.2,0
"Comedy, Mystery",5.2,0
"Drama, Horror, Mystery",,0
Drama,8.5,0
"Crime, Drama, Mystery",7.4,0
Drama,7.4,0
"Comedy, Fantasy, Romance",8.6,0
"Drama, Romance",5.1,0
"Comedy, Drama",8.8,0
Drama,5.9,0
"Comedy, Drama",7.8,0
"Drama, Romance",8.3,0
"Drama, Fantasy, Horror",8.2,0
"Biography, Drama, History",7.9,0
"Animation, Drama, Fantasy",8.4,0
"Action, Adventure, Sci-Fi",6.6,0
"Comedy, Drama",8.3,0
"Horror, Sci-Fi, Thriller",7.0,0
"Action, Adventure, Drama",4.5,0
"Action, Drama, Fantasy",6.5,0
"Action, Comedy, War",7.0,0
"Animation, Adventure, Family",8.2,0
"Action, Comedy, Crime",,0
"Comedy, Crime, Drama",7.8,0
"Animation, Action, Comedy",8.6,0
"Biography, Comedy, Drama",7.1,0
"Action, Adventure, Sci-Fi",7.8,0
"Comedy, Drama, Western",7.5,0
"Comedy, Romance",7.3,0
"Drama, Thriller",6.6,0
"Drama, Mystery, Thriller",7.6,0
"Drama, Horror, Mystery",,0
"Animation, Action, Adventure",8.3,0
"Comedy, Drama, Mystery",7.8,0
"Action, Sci-Fi, Thriller",7.1,0
Reality-TV,7.5,0
"Adventure, Drama, Family",7.3,0
"Drama, War",7.1,0
"Comedy, Fantasy, Horror",4.3,0
"Comedy, Family, Romance",5.9,0
"Action, Thriller",6.1,0
"Crime, Drama, Thriller",8.5,0
"Crime, Drama, Mystery",7.3,0
"Action, Biography, Crime",7.0,0
"Animation, Adventure, Comedy",6.1,0
"Drama, Mystery, Thriller",7.8,0
"Drama, Horror, Mystery",6.6,0
"Adventure, Comedy, Family",7.8,0
"Comedy, Crime, Drama",8.0,0
"Drama, Horror, Mystery",6.2,0
"Horror, Thriller",5.6,0
"Action, Adventure, Comedy",7.9,0
"Comedy, Drama, Romance",8.6,0
"Action, Thriller",6.3,0
"Crime, Drama",7.1,0
"Drama, Horror, Thriller",6.4,0
"Action, Adventure, Drama",6.7,0
"Adventure, Drama, History",7.5,0
"Animation, Action, Adventure",8.8,0
"Action, Adventure, Sci-Fi",7.4,0
"Comedy, Drama, Musical",7.3,0
"Drama, Thriller",7.7,0
"Family, Fantasy, Musical",7.8,0
"Comedy, Drama, Family",6.7,0
"Drama, Romance",7.3,0
"Crime, Drama, Thriller",7.4,0
Drama,4.7,0
"Action, Adventure, Thriller",6.4,0
Drama,7.0,0
"Drama, Music, Romance",7.7,0
"Drama, Music, Romance",6.6,0
"Drama, Horror, Thriller",6.5,0
"Action, Adventure, Comedy",4.9,0
"Adventure, Comedy, Family",,0
"Drama, Mystery, Sci-Fi",8.2,0
"Drama, Mystery, Sci-Fi",8.0,0
Drama,6.7,0
"Animation, Action, Adventure",7.6,0
"Crime, Horror, Thriller",4.8,0
Comedy,5.5,0
"Animation, Action, Adventure",6.6,0
"Animation, Action, Adventure",8.3,0
"Comedy, Drama, Family",,0
Comedy,6.9,0
"Drama, Fantasy, Horror",7.5,0
"Adventure, Drama, Fantasy",,0
"Action, Drama, Western",6.5,0
"Drama, Fantasy, Mystery",7.8,0
"Drama, Romance",5.5,0
"Drama, Horror, Mystery",6.2,0
"Comedy, Drama",7.7,0
"Animation, Family, Fantasy",8.0,0
Drama,7.4,0
"Action, Adventure, Drama",7.9,0
Comedy,7.4,0
"Adventure, Comedy, Romance",8.7,0
"Drama, Horror, Mystery",7.3,0
"Comedy, Crime",8.6,0
"Comedy, Drama, Fantasy",8.2,0
"Crime, Drama, History",7.2,0
"Comedy, Drama, Sport",8.0,0
"Drama, History, War",7.3,0
